iter	Passed	Remaining
1148	3032	10162
1149	3034	10160
1150	3037	10156
1151	3040	10155
1152	3042	10152
1153	3045	10149
1154	3047	10145
1155	3050	10142
1156	3052	10138
1157	3055	10137
1158	3058	10134
1159	3060	10131
1160	3062	10128
1161	3065	10124
1162	3067	10121
1163	3070	10118
1164	3074	10120
1165	3077	10118
1166	3080	10116
1167	3083	10115
1168	3086	10115
1169	3090	10115
1170	3092	10112
1171	3095	10110
1172	3098	10108
1173	3101	10107
1174	3104	10107
1175	3108	10106
1176	3110	10103
1177	3113	10101
1178	3116	10099
1179	3119	10099
1180	3123	10099
1181	3126	10099
1182	3129	10098
1183	3132	10097
1184	3136	10097
1185	3139	10095
1186	3141	10092
1187	3144	10090
1188	3148	10090
1189	3151	10089
1190	3154	10088
1191	3157	10086
1192	3160	10085
1193	3163	10082
1194	3165	10080
1195	3169	10080
1196	3171	10077
1197	3174	10075
1198	3177	10073
1199	3180	10070
1200	3182	10067
1201	3185	10065
1202	3188	10063
1203	3191	10061
1204	3194	10059
1205	3197	10057
1206	3200	10056
1207	3203	10054
1208	3205	10052
1209	3208	10050
1210	3211	10047
1211	3213	10044
1212	3217	10044
1213	3220	10043
1214	3223	10042
1215	3226	10039
1216	3229	10037
1217	3232	10036
1218	3235	10036
1219	3238	10034
1220	3241	10032
1221	3244	10029
1222	3246	10026
1223	3249	10025
1224	3253	10025
1225	3256	10023
1226	3258	10020
1227	3261	10018
1228	3264	10017
1229	3268	10017
1230	3271	10015
1231	3273	10012
1232	3276	10009
1233	3278	10006
1234	3281	10005
1235	3284	10002
1236	3286	9998
1237	3289	9995
1238	3291	9991
1239	3293	9987
1240	3296	9984
1241	3299	9982
1242	3301	9979
1243	3304	9976
1244	3306	9972
1245	3308	9969
1246	3311	9966
1247	3314	9964
1248	3317	9962
1249	3319	9958
1250	3321	9955
1251	3324	9951
1252	3326	9949
1253	3329	9946
1254	3332	9944
1255	3334	9940
1256	3337	9937
1257	3339	9934
1258	3342	9932
1259	3345	9930
1260	3348	9927
1261	3350	9924
1262	3352	9920
1263	3355	9917
1264	3357	9913
1265	3359	9910
1266	3362	9907
1267	3365	9905
1268	3367	9901
1269	3370	9898
1270	3372	9894
1271	3374	9891
1272	3377	9888
1273	3380	9886
1274	3382	9883
1275	3385	9880
1276	3387	9876
1277	3390	9873
1278	3392	9869
1279	3395	9867
1280	3397	9864
1281	3400	9861
1282	3402	9857
1283	3404	9853
1284	3407	9850
1285	3409	9847
1286	3412	9844
1287	3415	9842
1288	3417	9839
1289	3420	9836
1290	3422	9832
1291	3424	9829
1292	3427	9827
1293	3430	9825
1294	3432	9821
1295	3435	9817
1296	3437	9814
1297	3439	9810
1298	3442	9807
1299	3445	9806
1300	3448	9803
1301	3450	9801
1302	3453	9798
1303	3455	9794
1304	3458	9793
1305	3462	9792
1306	3464	9789
1307	3466	9786
1308	3469	9782
1309	3471	9779
1310	3474	9776
1311	3477	9774
1312	3479	9771
1313	3482	9768
1314	3484	9764
1315	3486	9761
1316	3489	9758
1317	3492	9755
1318	3494	9752
1319	3497	9749
1320	3499	9746
1321	3501	9742
1322	3504	9739
1323	3506	9736
1324	3509	9733
1325	3512	9730
1326	3514	9727
1327	3516	9724
1328	3519	9721
1329	3521	9717
1330	3524	9715
1331	3526	9712
1332	3529	9709
1333	3531	9705
1334	3534	9702
1335	3536	9699
1336	3539	9696
1337	3542	9695
1338	3545	9693
1339	3547	9690
1340	3550	9687
1341	3552	9684
1342	3555	9681
1343	3558	9678
1344	3560	9675
1345	3562	9672
1346	3565	9668
1347	3567	9665
1348	3570	9662
1349	3572	9659
1350	3575	9657
1351	3578	9654
1352	3580	9650
1353	3582	9647
1354	3585	9644
1355	3587	9640
1356	3590	9638
1357	3593	9638
1358	3596	9635
1359	3598	9631
1360	3601	9628
1361	3603	9625
1362	3606	9623
1363	3608	9620
1364	3611	9616
1365	3613	9612
1366	3615	9609
1367	3618	9605
1368	3620	9602
1369	3623	9600
1370	3625	9597
1371	3628	9594
1372	3630	9590
1373	3632	9587
1374	3635	9583
1375	3638	9582
1376	3641	9580
1377	3643	9577
1378	3646	9574
1379	3648	9570
1380	3650	9567
1381	3654	9566
1382	3657	9565
1383	3660	9562
